id_dapil,nama_dapil,kategori,url_dapil
0,11,ACEH,dpd,https://caleg.zakiego.com/api/dpd/dapil/11
1,12,SUMATERA UTARA,dpd,https://caleg.zakiego.com/api/dpd/dapil/12
2,13,SUMATERA BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/13
3,14,RIAU,dpd,https://caleg.zakiego.com/api/dpd/dapil/14
4,15,JAMBI,dpd,https://caleg.zakiego.com/api/dpd/dapil/15
5,16,SUMATERA SELATAN,dpd,https://caleg.zakiego.com/api/dpd/dapil/16
6,17,BENGKULU,dpd,https://caleg.zakiego.com/api/dpd/dapil/17
7,18,LAMPUNG,dpd,https://caleg.zakiego.com/api/dpd/dapil/18
8,19,KEPULAUAN BANGKA BELITUNG,dpd,https://caleg.zakiego.com/api/dpd/dapil/19
9,21,KEPULAUAN RIAU,dpd,https://caleg.zakiego.com/api/dpd/dapil/21
10,31,DKI JAKARTA,dpd,https://caleg.zakiego.com/api/dpd/dapil/31
11,32,JAWA BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/32
12,33,JAWA TENGAH,dpd,https://caleg.zakiego.com/api/dpd/dapil/33
13,34,DAERAH ISTIMEWA YOGYAKARTA,dpd,https://caleg.zakiego.com/api/dpd/dapil/34
14,35,JAWA TIMUR,dpd,https://caleg.zakiego.com/api/dpd/dapil/35
15,36,BANTEN,dpd,https://caleg.zakiego.com/api/dpd/dapil/36
16,51,BALI,dpd,https://caleg.zakiego.com/api/dpd/dapil/51
17,52,NUSA TENGGARA BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/52
18,53,NUSA TENGGARA TIMUR,dpd,https://caleg.zakiego.com/api/dpd/dapil/53
19,61,KALIMANTAN BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/61
20,62,KALIMANTAN TENGAH,dpd,https://caleg.zakiego.com/api/dpd/dapil/62
21,63,KALIMANTAN SELATAN,dpd,https://caleg.zakiego.com/api/dpd/dapil/63
22,64,KALIMANTAN TIMUR,dpd,https://caleg.zakiego.com/api/dpd/dapil/64
23,71,SULAWESI UTARA,dpd,https://caleg.zakiego.com/api/dpd/dapil/71
24,72,SULAWESI TENGAH,dpd,https://caleg.zakiego.com/api/dpd/dapil/72
25,73,SULAWESI SELATAN,dpd,https://caleg.zakiego.com/api/dpd/dapil/73
26,74,SULAWESI TENGGARA,dpd,https://caleg.zakiego.com/api/dpd/dapil/74
27,75,GORONTALO,dpd,https://caleg.zakiego.com/api/dpd/dapil/75
28,76,SULAWESI BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/76
29,81,MALUKU,dpd,https://caleg.zakiego.com/api/dpd/dapil/81
30,82,MALUKU UTARA,dpd,https://caleg.zakiego.com/api/dpd/dapil/82
31,91,PAPUA,dpd,https://caleg.zakiego.com/api/dpd/dapil/91
32,92,PAPUA BARAT,dpd,https://caleg.zakiego.com/api/dpd/dapil/92
33,65,KALIMANTAN UTARA,dpd,https://caleg.zakiego.com/api/dpd/dapil/65
34,93,PAPUA SELATAN,dpd,https://caleg.zakiego.com/api/dpd/dapil/93
35,94,PAPUA TENGAH,dpd,https://caleg.zakiego.com/api/dpd/dapil/94
36,95,PAPUA PEGUNUNGAN,dpd,https://caleg.zakiego.com/api/dpd/dapil/95
37,96,PAPUA BARAT DAYA,dpd,https://caleg.zakiego.com/api/dpd/dapil/96
38,1101,ACEH I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/1101
39,1102,ACEH II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/1102
40,1201,SUMATERA UTARA I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/1201
41,1202,SUMATERA UTARA II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/1202
42,1203,SUMATERA UTARA III,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/1203
